Frequency (Hz),Amplitude (|P1(f)|)
0.099967,0.000936
0.199934,0.000914
0.299901,0.000562
0.399868,0.000336
0.499835,0.001679
0.599802,0.001795
0.699769,0.001567
0.799737,0.000271
0.899704,0.001682
0.999671,0.001536
1.099638,0.002228
1.199605,0.003407
1.299572,0.002632
1.399539,0.004897
1.499506,0.004842
1.599473,0.003183
1.699440,0.002261
1.799407,0.003415
1.899374,0.002375
1.999341,0.001735
2.099308,0.005704
2.199276,0.003351
2.299243,0.002233
2.399210,0.003287
2.499177,0.000665
2.599144,0.004107
2.699111,0.002320
2.799078,0.006479
2.899045,0.006253
2.999012,0.002603
3.098979,0.003926
3.198946,0.007867
3.298913,0.006562
3.398880,0.010073
3.498847,0.007623
3.598814,0.002863
3.698782,0.007176
3.798749,0.007486
3.898716,0.008843
3.998683,0.007542
4.098650,0.014628
4.198617,0.005531
4.298584,0.007322
4.398551,0.003852
4.498518,0.005988
4.598485,0.003407
4.698452,0.005997
4.798419,0.002620
4.898386,0.005835
4.998353,0.007269
5.098321,0.003269
5.198288,0.004638
5.298255,0.001696
5.398222,0.000641
5.498189,0.000878
5.598156,0.002461
5.698123,0.001309
5.798090,0.001127
5.898057,0.000258
5.998024,0.000244
6.097991,0.002321
6.197958,0.001117
6.297925,0.000839
6.397892,0.002525
6.497859,0.000576
6.597827,0.001862
6.697794,0.001555
6.797761,0.001861
6.897728,0.000456
6.997695,0.001470
7.097662,0.000413
7.197629,0.002097
7.297596,0.001943
7.397563,0.004094
7.497530,0.001590
7.597497,0.001817
7.697464,0.000117
7.797431,0.001248
7.897398,0.000667
7.997366,0.001804
8.097333,0.000259
8.197300,0.001634
8.297267,0.000801
8.397234,0.002030
8.497201,0.000878
8.597168,0.001226
8.697135,0.000460
8.797102,0.001163
8.897069,0.001890
8.997036,0.001416
9.097003,0.001847
9.196970,0.001057
9.296937,0.001608
9.396904,0.000988
9.496872,0.001090
9.596839,0.000810
9.696806,0.001668
9.796773,0.001311
9.896740,0.002381
9.996707,0.002520
10.096674,0.002199
10.196641,0.001723
10.296608,0.001207
10.396575,0.001334
10.496542,0.001417
10.596509,0.001384
10.696476,0.001163
10.796443,0.001713
10.896410,0.000923
10.996378,0.000951
11.096345,0.000389
