Frequency (Hz),Power (dB)
0.099967,-53.582056
0.199934,-53.785940
0.299901,-58.018026
0.399868,-62.490705
0.499835,-48.506985
0.599802,-47.927516
0.699769,-49.107876
0.799737,-64.339829
0.899704,-48.491290
0.999671,-49.281344
1.099638,-46.051250
1.199605,-42.360623
1.299572,-44.603593
1.399539,-39.209808
1.499506,-39.307628
1.599473,-42.951140
1.699440,-45.924328
1.799407,-42.340209
1.899374,-45.496261
1.999341,-48.224095
2.099308,-37.885214
2.199276,-42.506501
2.299243,-46.031233
2.399210,-42.672101
2.499177,-56.548044
2.599144,-40.737654
2.699111,-45.700431
2.799078,-36.778966
2.899045,-37.087008
2.999012,-44.699565
3.098979,-41.128977
3.198946,-35.093105
3.298913,-36.668134
3.398880,-32.945782
3.498847,-35.366339
3.598814,-43.873948
3.698782,-35.891544
3.798749,-35.524429
3.898716,-34.077296
3.998683,-35.459280
4.098650,-29.705030
4.198617,-38.152410
4.298584,-35.716530
4.398551,-41.294648
4.498518,-37.463009
4.598485,-42.361284
4.698452,-37.450815
4.798419,-44.643740
4.898386,-37.688310
4.998353,-35.779587
5.098321,-42.720775
5.198288,-39.682951
5.298255,-48.421817
5.398222,-56.868198
5.498189,-54.137304
5.598156,-45.186945
5.698123,-50.669143
5.798090,-51.968002
5.898057,-64.788984
5.998024,-65.267968
6.097991,-45.696019
6.197958,-52.051238
6.297925,-54.533194
6.397892,-44.962834
6.497859,-57.805390
6.597827,-47.610720
6.697794,-49.174349
6.797761,-47.613865
6.897728,-59.826843
6.997695,-49.663058
7.097662,-60.699999
7.197629,-46.575891
7.297596,-47.237253
7.397563,-40.766815
7.497530,-48.981126
7.597497,-47.823016
7.697464,-71.645527
7.797431,-51.081465
7.897398,-56.521466
7.997366,-47.883656
8.097333,-64.759516
8.197300,-48.746071
8.297267,-54.937422
8.397234,-46.858167
8.497201,-54.135426
8.597168,-51.238318
8.697135,-59.754777
8.797102,-51.698474
8.897069,-47.479713
8.997036,-49.989225
9.097003,-47.681616
9.196970,-52.523941
9.296937,-48.884707
9.396904,-53.111964
9.496872,-52.257810
9.596839,-54.835461
9.696806,-48.564953
9.796773,-50.658836
9.896740,-45.473900
9.996707,-44.981768
10.096674,-46.163792
10.196641,-48.285022
10.296608,-51.377831
10.396575,-50.505543
10.496542,-49.978450
10.596509,-50.187636
10.696476,-51.699876
10.796443,-48.334968
10.896410,-53.708224
10.996378,-53.440824
11.096345,-61.203762
11.196312,-50.958710
11.296279,-46.234729
11.396246,-53.568307
11.496213,-59.256341
11.596180,-49.165184
11.696147,-51.515103
11.796114,-45.108374
11.896081,-42.689596
11.996048,-49.131257
12.096015,-42.413643
12.195982,-43.014407
12.295949,-45.446413
12.395917,-51.993554
12.495884,-57.136673
12.595851,-46.331525
12.695818,-51.067845
12.795785,-58.017272
12.895752,-66.467149
12.995719,-48.729962
13.095686,-52.326102
13.195653,-45.728660
13.295620,-51.123998
13.395587,-43.844215
13.495554,-39.542011
13.595521,-48.449287
13.695488,-53.111672
13.795455,-56.460083
13.895423,-50.560852
13.995390,-46.968211
14.095357,-41.553163
14.195324,-47.092197
14.295291,-42.026451
14.395258,-39.393185
14.495225,-51.520509
14.595192,-50.414535
14.695159,-43.267634
