Timestamp (ns),X (m/s^2),Y (m/s^2),Z (m/s^2)
45722454887333,0.857690,9.168791,-3.385865
45722457367697,0.826567,9.171185,-3.393048
45722459848010,0.745167,9.221461,-3.416988
45722462352906,0.745167,9.221461,-3.416988
45722464857802,0.745167,9.221461,-3.416988
45722467362697,0.745167,9.221461,-3.416988
45722469856343,0.726015,9.245402,-3.405018
45722472347645,0.718832,9.252585,-3.421777
45722474846083,0.733197,9.257373,-3.436141
45722477341552,0.723620,9.233432,-3.452900
45722479834885,0.730803,9.262161,-3.457688
45722482325041,0.737985,9.223855,-3.428959
45722484813895,0.749956,9.223855,-3.443324
45722487303062,0.752350,9.214279,-3.388259
45722489791395,0.771502,9.185551,-3.373895
45722492278010,0.793049,9.190338,-3.383471
45722494763531,0.793049,9.147244,-3.352348
45722497249625,0.805020,9.175973,-3.285313
45722499735093,0.790655,9.140062,-3.280525
45722502219208,0.788261,9.135274,-3.268554
45722504701708,0.819384,9.137669,-3.254190
45722507146083,0.812202,9.113728,-3.266160
45722509577020,0.814596,9.118515,-3.254190
45722512019312,0.819384,9.123303,-3.297284
45722514437906,0.816990,9.149638,-3.304466
45722516857385,0.828961,9.161610,-3.318830
45722519300250,0.824173,9.171185,-3.359530
45722521742281,0.826567,9.197520,-3.354742
45722524172281,0.819384,9.226251,-3.371501
45722526590770,0.819384,9.235826,-3.419383
45722529021552,0.821778,9.243009,-3.419383
45722531451968,0.833749,9.259768,-3.433747
45722533882697,0.845720,9.278920,-3.438535
45722536325875,0.840931,9.276526,-3.416988
45722538756760,0.843325,9.254979,-3.414594
45722541174625,0.879237,9.233432,-3.397836
45722543604625,0.857690,9.231038,-3.395442
45722546035770,0.867266,9.219068,-3.373895
45722548467229,0.862478,9.178369,-3.361924
45722550909625,0.867266,9.180762,-3.359530
45722553339312,0.857690,9.159215,-3.354742
45722555758739,0.855296,9.118515,-3.326013
45722558189833,0.850508,9.101756,-3.333195
45722560619989,0.833749,9.120910,-3.330801
45722563050927,0.814596,9.113728,-3.328407
45722565494312,0.800232,9.111333,-3.330801
45722567913427,0.785867,9.120910,-3.330801
45722570331343,0.771502,9.132880,-3.342772
45722572773166,0.766714,9.144851,-3.349954
45722575203687,0.723620,9.152032,-3.337983
45722577634468,0.714044,9.183156,-3.345166
45722580076812,0.723620,9.192732,-3.393048
45722582508114,0.723620,9.214279,-3.412200
45722584927072,0.718832,9.221461,-3.424171
45722587357072,0.718832,9.259768,-3.440929
45722589799520,0.709256,9.254979,-3.448112
45722592218114,0.706862,9.259768,-3.445718
45722594637177,0.745167,9.269343,-3.443324
45722597079989,0.752350,9.259768,-3.419383
45722599547177,0.764320,9.219068,-3.381077
45722602027697,0.802626,9.180762,-3.352348
45722604508218,0.828961,9.175973,-3.347560
45722606988010,0.848114,9.135274,-3.309254
45722609467229,0.876843,9.137669,-3.299678
45722611947020,0.869660,9.125697,-3.304466
45722614427437,0.903178,9.130486,-3.282919
45722616907697,0.900784,9.118515,-3.287707
45722619387854,0.874449,9.120910,-3.309254
45722621867541,0.895996,9.120910,-3.330801
45722624347229,0.886419,9.125697,-3.340378
45722626827437,0.879237,9.147244,-3.376289
45722629307645,0.881631,9.164003,-3.400230
45722631787281,0.860084,9.178369,-3.450506
45722634266343,0.843325,9.192732,-3.460082
45722636745979,0.826567,9.209492,-3.491206
45722639226187,0.814596,9.252585,-3.491206
45722641705822,0.809808,9.295678,-3.505570
45722644185406,0.807414,9.302861,-3.555846
45722646664937,0.778685,9.307650,-3.560634
45722649144468,0.793049,9.278920,-3.558240
45722651624572,0.773897,9.240614,-3.563029
45722654104104,0.812202,9.247796,-3.574999
45722656583010,0.783473,9.202310,-3.553452
45722659062802,0.802626,9.209492,-3.543876
45722661542541,0.807414,9.175973,-3.512753
45722664022020,0.824173,9.161610,-3.467265
45722666501447,0.797837,9.142456,-3.455294
45722668980250,0.807414,9.140062,-3.440929
45722671459052,0.814596,9.132880,-3.426565
45722673937854,0.809808,9.128091,-3.445718
45722676417229,0.805020,9.125697,-3.421777
45722678896552,0.788261,9.120910,-3.412200
45722681375927,0.785867,9.116121,-3.445718
45722683855979,0.766714,9.125697,-3.448112
45722686335927,0.769108,9.142456,-3.445718
45722688815197,0.778685,9.154428,-3.469659
45722691293739,0.771502,9.178369,-3.495994
45722693773010,0.773897,9.204703,-3.512753
45722696252645,0.747561,9.233432,-3.498388
45722698730302,0.769108,9.266950,-3.510359
45722701208531,0.771502,9.243009,-3.505570
45722703688531,0.749956,9.266950,-3.524723
45722706168427,0.740379,9.271737,-3.495994
45722708647854,0.769108,9.266950,-3.493600
45722711126656,0.766714,9.257373,-3.495994
45722713606031,0.778685,9.247796,-3.486418
45722716085406,0.790655,9.233432,-3.460082
45722718564729,0.781079,9.219068,-3.431353
45722721025510,0.797837,9.178369,-3.416988
45722723472697,0.795443,9.154428,-3.402624
45722725914416,0.821778,9.154428,-3.385865
45722728333166,0.828961,9.140062,-3.364318
45722730752385,0.814596,9.123303,-3.342772
45722733184937,0.831355,9.123303,-3.361924
45722735615145,0.845720,9.096969,-3.345166
45722738055666,0.845720,9.135274,-3.337983
45722740498583,0.862478,9.128091,-3.335589
45722742929885,0.852902,9.135274,-3.357136
45722745348166,0.840931,9.147244,-3.330801
45722747778114,0.860084,9.154428,-3.345166
45722750221552,0.848114,9.195127,-3.366713
45722752652489,0.848114,9.183156,-3.357136
45722755070666,0.862478,9.211885,-3.369107
45722757489364,0.857690,9.216673,-3.385865
45722759920562,0.845720,9.216673,-3.419383
