Timestamp (ns),X (rad/s),Y (rad/s),Z (rad/s)
45722547239677,0.003894,0.002765,-0.001275
45722549694729,0.003894,0.003986,-0.002497
45722552124520,0.005116,0.005208,-0.002497
45722554554052,0.005116,0.005208,-0.003719
45722556963375,0.003894,0.003986,-0.003719
45722559416291,0.006337,0.001543,-0.002497
45722561823687,0.007559,0.000321,-0.003719
45722564278166,0.008781,-0.000901,-0.002497
45722566710458,0.010003,-0.003344,-0.003719
45722569116395,0.011224,-0.004566,-0.003719
45722571546239,0.013668,-0.008231,-0.003719
45722574000041,0.014890,-0.009453,-0.002497
45722576407333,0.016111,-0.011896,-0.002497
45722578861552,0.018555,-0.014340,-0.001275
45722581292072,0.018555,-0.015561,-0.001275
45722583724104,0.017333,-0.019227,-0.000054
45722586130041,0.017333,-0.020448,-0.001275
45722588584052,0.016111,-0.022892,-0.000054
45722591014989,0.013668,-0.025335,0.002390
45722593421239,0.010003,-0.024113,0.002390
45722595853062,0.006337,-0.022892,0.003612
45722598306916,0.001450,-0.020448,0.002390
45722600787437,0.000229,-0.019227,0.004833
45722603267958,0.000229,-0.018005,0.004833
45722605748427,0.001450,-0.016783,0.003612
45722608227593,0.001450,-0.015561,0.003612
45722610706812,0.002672,-0.014340,0.002390
45722613187229,0.006337,-0.013118,0.002390
45722615667645,0.007559,-0.014340,0.003612
45722618147697,0.008781,-0.014340,0.002390
45722620627958,0.011224,-0.013118,0.002390
45722623107072,0.013668,-0.014340,0.002390
45722625587333,0.013668,-0.014340,0.002390
45722628067541,0.016111,-0.013118,0.002390
45722630547750,0.017333,-0.014340,0.001168
45722633026812,0.016111,-0.016783,-0.001275
45722635505875,0.014890,-0.018005,-0.001275
45722637986083,0.016111,-0.019227,-0.002497
45722640466291,0.013668,-0.019227,-0.003719
45722642945302,0.011224,-0.016783,-0.003719
45722645425458,0.008781,-0.013118,-0.003719
45722647904416,0.005116,-0.010674,-0.003719
45722650384520,0.002672,-0.003344,-0.003719
45722652864625,-0.000993,0.001543,-0.002497
45722655343531,-0.003436,0.006430,-0.001275
45722657822437,-0.008323,0.011317,-0.000054
45722660303114,-0.008323,0.014982,-0.001275
45722662781968,-0.010767,0.016204,-0.001275
45722665262020,-0.011989,0.018647,-0.000054
45722667740822,-0.010767,0.018647,-0.001275
45722670219625,-0.010767,0.017425,-0.002497
45722672698427,-0.009545,0.018647,-0.002497
45722675177229,-0.008323,0.017425,-0.002497
45722677657177,-0.007102,0.017425,-0.002497
45722680135927,-0.005880,0.017425,-0.003719
45722682615927,-0.004658,0.016204,-0.003719
45722685095979,-0.003436,0.016204,-0.003719
45722687575875,-0.003436,0.016204,-0.003719
45722690054520,-0.004658,0.012538,-0.003719
45722692532906,-0.002215,0.012538,-0.002497
45722695013114,-0.004658,0.010095,-0.003719
45722697492125,-0.005880,0.008873,-0.001275
45722699968479,-0.005880,0.006430,-0.001275
45722702448583,-0.008323,0.005208,-0.001275
45722704928427,-0.008323,0.003986,-0.000054
45722707408427,-0.010767,0.002765,0.001168
45722709887229,-0.013210,0.001543,0.002390
45722712366031,-0.013210,0.002765,0.004833
45722714846031,-0.015654,0.002765,0.006055
45722717324781,-0.016875,0.001543,0.003612
45722719804677,-0.018097,0.001543,0.004833
45722722246343,-0.020541,0.000321,0.003612
45722724699000,-0.020541,-0.002122,0.003612
45722727129833,-0.020541,-0.003344,0.004833
45722729536447,-0.018097,-0.007009,0.004833
45722731968270,-0.019319,-0.009453,0.004833
45722734401604,-0.018097,-0.011896,0.004833
45722736828687,-0.018097,-0.015561,0.004833
45722739282593,-0.014432,-0.016783,0.003612
45722741714520,-0.013210,-0.019227,0.003612
45722744145250,-0.010767,-0.020448,0.002390
45722746551031,-0.009545,-0.021670,0.001168
45722749005197,-0.009545,-0.022892,0.002390
45722751437854,-0.008323,-0.024113,0.002390
45722753867072,-0.008323,-0.024113,0.002390
45722756274260,-0.008323,-0.022892,0.002390
45722758704416,-0.008323,-0.024113,0.001168
45722761136708,-0.008323,-0.022892,0.002390
45722763589989,-0.010767,-0.019227,0.001168
45722766032802,-0.009545,-0.018005,0.002390
45722768451291,-0.010767,-0.015561,0.001168
45722770858895,-0.014432,-0.014340,0.001168
45722773312645,-0.014432,-0.011896,0.001168
45722775743895,-0.015654,-0.008231,0.001168
45722778150093,-0.015654,-0.007009,-0.000054
45722780581500,-0.016875,-0.004566,-0.001275
45722783034729,-0.016875,-0.002122,-0.000054
45722785466708,-0.014432,-0.002122,-0.002497
45722787897489,-0.014432,-0.000901,-0.002497
45722790377385,-0.010767,-0.000901,-0.002497
45722792857281,-0.008323,-0.002122,-0.003719
45722795337177,-0.008323,-0.003344,-0.004941
45722797813531,-0.005880,-0.004566,-0.003719
45722800293635,-0.000993,-0.007009,-0.006162
45722802772489,0.000229,-0.007009,-0.006162
45722805252541,0.002672,-0.007009,-0.007384
45722807731447,0.003894,-0.008231,-0.007384
45722810210354,0.003894,-0.009453,-0.004941
45722812690406,0.003894,-0.008231,-0.006162
45722815170250,0.003894,-0.007009,-0.006162
45722817650197,0.002672,-0.005788,-0.006162
45722820129104,0.002672,-0.004566,-0.006162
45722822608947,0.001450,-0.003344,-0.006162
45722825087645,0.001450,-0.000901,-0.004941
45722827566395,0.001450,0.001543,-0.003719
45722830046343,0.000229,0.002765,-0.003719
45722832524989,-0.000993,0.001543,-0.002497
45722835005458,-0.002215,0.000321,-0.001275
45722837484104,-0.002215,0.000321,-0.001275
45722839964156,-0.002215,-0.002122,-0.001275
45722842442750,-0.002215,-0.003344,-0.000054
45722844921343,-0.002215,-0.003344,-0.000054
45722847399989,0.001450,-0.004566,0.001168
45722849878635,0.002672,-0.007009,-0.000054
45722852358583,0.007559,-0.007009,0.002390
45722854834729,0.006337,-0.010674,0.002390
45722857314572,0.008781,-0.010674,0.002390
45722859793270,0.012446,-0.013118,0.001168
45722862271968,0.014890,-0.015561,0.001168
45722864750822,0.018555,-0.016783,0.001168
45722867229781,0.018555,-0.019227,0.002390
45722869709677,0.019776,-0.020448,0.003612
45722872188375,0.019776,-0.021670,0.003612
45722874668270,0.019776,-0.022892,0.003612
45722877146968,0.018555,-0.021670,0.004833
45722879625666,0.016111,-0.020448,0.006055
45722882105718,0.013668,-0.018005,0.006055
45722884585354,0.011224,-0.015561,0.004833
45722887065197,0.010003,-0.011896,0.007277
45722889543895,0.005116,-0.007009,0.006055
45722892023687,0.003894,-0.004566,0.007277
45722894504052,0.002672,-0.002122,0.006055
45722896981031,0.000229,-0.000901,0.007277
45722899457385,-0.002215,0.000321,0.007277
45722901936343,-0.003436,0.000321,0.006055
45722904415145,-0.002215,0.001543,0.004833
45722906895302,-0.002215,0.001543,0.006055
45722909374156,-0.000993,0.001543,0.006055
45722911835927,0.000229,0.000321,0.006055
45722914289520,0.003894,-0.000901,0.004833
45722916697906,0.003894,-0.002122,0.003612
45722919152125,0.006337,-0.005788,0.003612
