Timestamp (ns),Total Acceleration (m/s^2)
45722454887333,9.811546
45722457367697,9.813593
45722459848010,9.862374
45722462352906,9.862374
45722464857802,9.862374
45722467362697,9.862374
45722469856343,9.879206
45722472347645,9.891189
45722474846083,9.901696
45722477341552,9.884453
45722479834885,9.913491
45722482325041,9.868226
45722484813895,9.874128
45722487303062,9.846282
45722489791395,9.815942
45722492278010,9.825433
45722494763531,9.774418
45722497249625,9.779561
45722499735093,9.743086
45722502219208,9.734373
45722504701708,9.734379
45722507146083,9.715323
45722509577020,9.715999
45722512019312,9.735406
45722514437906,9.762318
45722516857385,9.779412
45722519300250,9.801853
45722521742281,9.825064
45722524172281,9.857084
45722526590770,9.882512
45722529021552,9.889424
45722531451968,9.911057
45722533882697,9.931623
45722536325875,9.921537
45722538756760,9.900772
45722541174625,9.877986
45722543604625,9.873031
45722546035770,9.855279
45722548467229,9.812688
45722550909625,9.814529
45722553339312,9.791892
45722555758739,9.743778
45722558189833,9.730135
45722560619989,9.745788
45722563050927,9.736626
45722565494312,9.734013
45722567913427,9.741808
45722570331343,9.755964
45722572773166,9.769255
45722575203687,9.768595
45722577634468,9.799507
45722580076812,9.825616
45722582508114,9.852394
45722584927072,9.862910
45722587357072,9.904544
45722589799520,9.901876
45722592218114,9.905348
45722594637177,9.916273
45722597079989,9.899571
45722599547177,9.849216
45722602027697,9.806572
45722604508218,9.802643
45722606988010,9.753138
45722609467229,9.754677
45722611947020,9.744442
45722614427437,9.744694
45722616907697,9.734873
45722619387854,9.742013
45722621867541,9.751309
45722624347229,9.758187
45722626827437,9.790019
45722629307645,9.814163
45722631787281,9.843180
45722634266343,9.858482
45722636745979,9.883646
45722639226187,9.922823
45722641705822,9.967670
45722644185406,9.991956
45722646664937,9.995839
45722649144468,9.969371
45722651624572,9.933933
45722654104104,9.947966
45722656583010,9.895623
45722659062802,9.900404
45722661542541,9.858490
45722664022020,9.830375
45722666501447,9.806126
45722668980250,9.799624
45722671459052,9.788484
45722673937854,9.790342
45722676417229,9.779313
45722678896552,9.770131
45722681375927,9.777230
45722683855979,9.785483
45722686335927,9.800459
45722688815197,9.820816
45722691293739,9.851885
45722693773010,9.882556
45722696252645,9.902213
45722698730302,9.939342
45722701208531,9.915515
45722703688531,9.942961
45722706168427,9.936562
45722708647854,9.933434
45722711126656,9.925159
45722713606031,9.913788
45722716085406,9.892097
45722718564729,9.867901
45722721025510,9.826230
45722723472697,9.798679
45722725914416,9.795047
45722728333166,9.774792
45722730752385,9.750505
45722733184937,9.758501
45722735615145,9.729348
45722738055666,9.762714
45722740498583,9.756642
45722742929885,9.769904
45722745348166,9.771053
45722747778114,9.784346
45722750221552,9.828754
45722752652489,9.814276
45722755070666,9.846501
45722757489364,9.856306
45722759920562,9.866838
45722762363375,9.877446
45722764811395,9.901378
45722767242072,9.898360
45722769655093,9.867409
45722772085770,9.844931
45722774528270,9.860645
45722776947020,9.844398
45722779365822,9.828895
45722781808114,9.790532
45722784250718,9.762512
45722786682125,9.749775
45722789137437,9.720126
45722791617333,9.692515
45722794097229,9.706938
45722796575354,9.686152
45722799053583,9.695450
45722801533062,9.709577
45722804012541,9.745157
45722806492020,9.736452
45722808970927,9.784358
45722811450406,9.806475
45722813930354,9.824856
45722816410250,9.832547
45722818889677,9.848701
45722821369052,9.869684
45722823848322,9.871747
45722826327020,9.858016
45722828806395,9.842940
45722831285666,9.859302
45722833765250,9.837036
45722836244781,9.794905
45722838724156,9.774561
45722841203479,9.760819
45722843682072,9.749885
45722846160666,9.731156
45722848639312,9.720072
45722851118635,9.721332
45722853596656,9.701410
45722856074677,9.703800
45722858553947,9.720017
45722861032645,9.747420
45722863511395,9.743290
45722865990302,9.789363
45722868469729,9.791518
45722870949052,9.839857
45722873428322,9.873796
45722875907645,9.898888
45722878386343,9.919577
45722880865718,9.947539
45722883345562,9.930395
45722885825302,9.925269
45722888304572,9.918700
45722890783791,9.892317
45722893263895,9.876532
45722895742541,9.859462
45722898219208,9.809031
45722900696864,9.796412
45722903175770,9.779366
45722905655250,9.747459
45722908134729,9.752764
45722910605041,9.738027
45722913062750,9.743965
45722915493739,9.737096
45722917925041,9.753074
45722920355250,9.761488
45722922784416,9.802843
45722925214729,9.802331
45722927635093,9.848695
45722930064677,9.868300
45722932494520,9.881459
45722934926916,9.909421
45722937357489,9.928643
45722939798739,9.956445
45722942240718,9.963638
45722944678218,9.991954
45722947097437,9.966618
45722949521968,9.959700
45722951953010,9.958341
45722954384416,9.920809
45722956815770,9.891709
45722959234000,9.869305
45722961675458,9.821832
45722964106395,9.805296
45722966537802,9.798897
45722968968062,9.767438
45722971398114,9.772437
45722973829260,9.769748
45722976248531,9.768114
45722978690041,9.773926
45722981119364,9.784327
45722983550041,9.790138
45722985981812,9.807628
